question,CompiledAnswer,booklet_id,booklet_type,frequencelevel,criticalitylevel,AnswerConsistencyLevel,ConfidenceLevelinAnswer,ClarityofQuestion,PossibleAssumptioninQuestion,ActionRecommendation,Topics,Keywords,SuggestedReframedQuestion,lookup_variants
Agar maa ka doodh bachche ke liye kam pad raha ho to kya karna chahiye?,"Aksar doodh sach mein kam nahi hota—pehle dekhein ki baby ko milk theek se mil raha hai ya nahi.

- Baby ko **demand par baar-baar breastfeed** karayein, din aur raat mein. Har feed mein baby ko ek breast par tab tak peene dein jab tak woh khud chhod de, phir zarurat ho to doosra breast offer karein.
- **Latch check karein:** baby ka muh wide open ho, chin breast ko touch kare, aur nipple ke saath areola ka kaafi hissa muh mein ho. Feed ke dauran gehri sucking aur nigalne ki awaaz/harakat dikhni chahiye.
- Agar baby 5 din se bada aur exclusively breastfed hai, to aam taur par **24 ghante mein 6 ya zyada wet diapers/urine** aur lagatar weight gain reassuring signs hote hain. Growth ko health worker ke growth chart par check karwana sabse behtar hai.
- Pehle 6 mahine mein, agar baby sirf breastfeed kar raha hai, to **paani, ghutti ya doosra feed** na dein; pyas/feeding cues par breast offer karein.

**Jaldi doctor, ANM/ASHA, ya lactation counsellor se milen** agar baby bahut sust ho, feed na kar raha ho, urine bahut kam ho, weight na badh raha ho/ghat raha ho, bukhar ho, ya dehydration ke signs hon. Baby ki umar, wet diapers ki sankhya, weight trend aur latch dekhkar hi pata chalega ki supply ki problem hai ya feeding technique ki.",Q_0011,MIQ,['High Frequency'],['High Critical'],VeryConsistent,Medium,Clear,ImplicitAssumption,RE_VET,"Breastfeeding support, Perceived low milk supply, Infant feeding assessment","maa ka doodh kam, breastfeeding, low milk supply, latch, wet diapers / susu, baby weight gain, exclusive breastfeeding","Mujhe lag raha hai ki mera baby maa ka doodh poora nahi le paa raha. Kaise pata chalega ki doodh kaafi mil raha hai, aur latch ya feeding mein kya sudhar karun?","['Agar bacche ko dudh kam hojaye to kiya kare', 'mera doodh kam aa raha hai kya karu', 'baby ka pet nahi bhar raha mere doodh se', 'breast milk supply kaise badhaye']"
Garbhavastha me bachche ka vajan badhane ke liye maa ko kya khana chahiye?,"## Garbhavastha mein baby ki healthy growth ke liye kya khayen?

Baby ka weight sirf khane se nahi, balki pregnancy ke month, maa ke Hb/BP/sugar, placenta aur anya health factors se bhi affect hota hai. Isliye **balanced diet** lein—sirf zyada khana zaroori nahi.

- Roz **4–5 chhote, nutritious meals** lein. Dusre trimester se ek extra healthy meal/snack le sakti hain.
- Har din protein shamil karein: **dal, chana, rajma, beans, doodh, dahi, paneer, anda**; non-veg lete hain to well-cooked fish/chicken.
- **Roti/rice, bajra, jowar, ragi** jaise grains, seasonal fruits aur sabziyan—khaaskar hari pattedar sabziyan—khaayen.
- Healthy snacks: fruit, doodh, peanuts/nuts, roasted chana, dates ya salad.
- Iron ke liye dal, chana, leafy vegetables aur jaggery/dates; calcium ke liye doodh, dahi, paneer lein. **Iodized namak** use karein.
- Doctor/ANM ne jo **iron-folic acid (IFA) aur calcium tablets** di hain, unhe unki salah ke mutabik lein. Iron aur calcium ko ek saath na lein; tea/coffee bhi meals ya iron tablet ke aas-paas na lein.
- Paani aur anya safe fluids milakar lagbhag **2 litre ya pyaas ke hisaab se** lein, agar doctor ne fluid restriction na di ho.

**Bachna chahiye:** junk/zyada oily ya sugary food, alcohol, tobacco/gutkha, kaccha ya adhpaka anda, aur bina ubla/pasteurized doodh. Tea/coffee ko limited rakhein.

Agar ultrasound mein baby ka weight kam, growth slow, ya paani/BP/sugar/Hb ki problem batayi gayi hai, to apni pregnancy week aur ultrasound report ke saath doctor se jaldi personal advice lein.",Q_0012,MIQ,['High Frequency'],['Medium Critical'],VeryConsistent,High,Clear,ImplicitAssumption,KEEP,"Pregnancy nutrition, Fetal growth, Antenatal care","garbhavastha, baby weight growth, pregnancy diet, maa kya khaye, protein foods, IFA calcium, ultrasound low weight","Garbhavastha mein baby ki healthy growth ke liye maa ko kya-kya khana chahiye? Agar ultrasound mein baby ka weight kam bataya hai, to kya diet ke saath doctor se check-up bhi zaroori hai?","['bache ka wajah badhane k liye kya khilana chaiye', 'baby ka weight gain ke liye kya khau', 'pet me bacche ka vajan kaise badhaye', 'garbh me shishu ka vajan badhane ke upay']"
Paida hone ke baad bachche ko kaun se teeke kab-kab lagte hain?,"## Bharat mein routine teekakaran schedule

Bachche ka routine vaccination **janm ke samay** shuru hota hai. Vaccination card sambhal kar rakhein aur due date par session/site par jaayein.

| Umar | Routine teeke / drops |
|---|---|
| **Janm par** | **BCG**, **Hepatitis-B birth dose** (behtar hai 24 ghante ke andar), **OPV-0** polio drops |
| **6 hafte** | OPV-1, Pentavalent-1, Rotavirus-1, fractional IPV-1 |
| **10 hafte** | OPV-2, Pentavalent-2, Rotavirus-2 |
| **14 hafte** | OPV-3, Pentavalent-3, Rotavirus-3, fractional IPV-2 |
| **9–12 mahine** | MR/Measles-Rubella pehla dose, Vitamin A pehla dose; **JE-1** sirf JE-endemic districts mein |
| **16–24 mahine** | DPT booster-1, OPV booster, MR/Measles-Rubella doosra dose, Vitamin A; **JE-2** selected endemic districts mein |
| **5–6 saal** | DPT booster-2 |
| **10 aur 16 saal** | **Td** vaccine |

Vitamin A ki agali doses aam taur par har 6 mahine mein 5 saal ki umar tak di jaati hain. Government health facilities par routine vaccines free milte hain.

Agar koi teeka miss ho gaya ho, card lekar nearest health facility par jaayein—schedule dobara shuru karne ki zarurat aam taur par nahi hoti.",Q_0013,MIQ,['High Frequency'],['High Critical'],VeryConsistent,Medium,Clear,ImplicitAssumption,RE_VET,"Childhood immunization, National Immunization Schedule, Newborn and child preventive care","teeke, bachche ka vaccination, paida hone ke baad, immunization schedule, BCG, polio drops, Pentavalent vaccine",Paida hone se lekar bachche ko kaun-kaun se routine teeke kis umar par lagte hain? India ka vaccine schedule bata dijiye.,"['Bche ko tika kab kab lgta hai', 'baby ka vaccination chart kya hai', 'bacho ke teeko ki list', 'newborn baby ko konse injection lagte hai']"
Pregnancy ke dauran kaun se khatre ke lakshan (danger signs) hain jinhe nazarandaaz nahi karna chahiye?,"## Pregnancy mein danger signs

Pregnancy mein in lakshanon ko **bilkul ignore na karein**. Inmein se koi bhi ho to **turant doctor/nearest health centre se sampark karein**:

- Vaginal bleeding, ya paani jaisa fluid **leak** hona
- Tez ya lagataar pet dard
- Tez sar dard, chakkar, dhundhla dikhna, ya chehre/haathon ki achanak soojan
- Fits/daure, behoshi, bahut zyada kamzori, ya saans lene mein dikkat
- Bukhar ya kapkapi
- Baby ki harkat pehle se kam lagna ya bilkul band lagna
- Tez ulti jisse khana-paani na ruk paaye
- Bahut zyada peela pan, thakaan, ya severe anaemia ke lakshan
- Raat mein dekhne mein dikkat (night blindness)

**Agar bleeding zyada ho, fits aaye, saans ki dikkat ho, tez pet dard ho, ya baby ki movement kam/band ho, to emergency care abhi lein.**",Q_0014,MIQ,['Low Frequency'],['High Critical'],VeryConsistent,Medium,Clear,NoAssumption,RE_VET,"Pregnancy care, Antenatal danger signs, Maternal emergency care","pregnancy, khatre ke lakshan, danger signs, vaginal bleeding, baby movement kam, tez sar dard, soojan",Pregnancy ke dauran kaun se danger signs ya khatre ke lakshan hain jinmein turant doctor/health centre jaana chahiye?,"['pregnancy me danger sign kya hote hai', 'kab turant doctor ke paas jana chahiye', 'pregnancy me kya problem hone par hospital jaye', 'khatre ke lakshan pregnancy me']"
Normal delivery ke liye kya karna chahiye?,"## Normal delivery ke liye kya taiyari karein?

“Normal” (vaginal) delivery ki guarantee nahi hoti—maa aur baby ki condition dekhkar doctor/ANM safe delivery method decide karte hain. Safe vaginal delivery ki preparation ke liye:

- Pregnancy ko jaldi register karayein aur **saari scheduled ANC check-ups** karayein.
- Doctor/ANM ki salah se **IFA (iron-folic acid), calcium aur doosri prescribed medicines** lein. Iron aur calcium ko aam taur par alag samay par lena behtar hota hai.
- Poshtik khana khayein, paryapt paani aur aaram lein; tobacco, gutkha, bidi, alcohol aur drugs bilkul na lein.
- **Birth plan** banayein: delivery kahan karani hai, saath kaun rahega, transport, emergency paise aur zarurat par blood donor contact.
- Delivery bag ready rakhein: MCP card, ID/Aadhaar, blood/ultrasound reports, kapde, sanitary/hygiene items aur baby ke kapde.
- Labour shuru ho, paani nikle, ya koi problem lage to health centre/hospital se turant sampark karein. Ambulance ke liye apne area ka **102/108** number verify karke rakhein.

**Turant hospital jayein** agar vaginal bleeding, paani nikalna, tez ya lagatar pet dard/contractions, baby ki movement kam lagna, severe headache, dhundhla dikhna, chehre/haath-pair mein achanak sujan, bukhar, behoshi ya saans ki dikkat ho.

Agar pehle C-section hua hai, BP/diabetes/anaemia hai, twins hain, ya doctor ne high-risk bataya hai, to delivery hospital aur referral plan pehle se confirm karein.",Q_0015,MIQ,['High Frequency'],['Medium Critical'],VeryConsistent,High,Ambiguous,ImplicitAssumption,KEEP,"Pregnancy care, Birth preparedness, Labour and delivery","normal delivery, vaginal delivery, safe delivery, birth plan, ANC check-up, delivery bag, labour signs","Normal/vaginal delivery ke liye pregnancy mein kya taiyari karun? Main kitne hafte ki pregnant hoon, aur kya mujhe BP, diabetes, khoon ki kami, bleeding ya pehle C-section ki history hai?","['normal delivery k liye kya kare', 'narmal dilwari ke liye tips', 'normal delivery kaise hoti hai', 'kya khaye ki normal delivery ho']"
Pregnancy me kaun se phal aur sabziyan khani chahiye aur kaun si nahi?,"## Pregnancy mein kya khayein
Pregnancy mein **fresh, seasonal aur achchhi tarah dhoye hue phal aur sabziyan** roz khayein. Plate ko colourful/rainbow rakhein aur phal-sabzi ke saath dal, beans, whole grains, milk/curd (agar suit kare) aur nuts bhi lein.

**Achchhe options:**
- **Hari sabziyan:** palak, methi, cabbage, broccoli, dhaniya
- **Anya sabziyan:** bhindi, gajar, tamatar, matar, beans
- **Phal:** amrood, santara/mosambi, nimbu, amla, seb, kela

Palak, dal aur beans jaise iron wale foods ke saath **vitamin-C wale phal/sabzi**—jaise amrood, santara, nimbu, amla ya tamatar—lene se iron absorb hone mein madad milti hai.

## Kis cheez se bachna ya limit karna hai
Aam taur par koi specific fruit ya vegetable sabke liye mana nahi hota, lekin **unwashed, sade/gale hue, ya hygienically prepare na kiye hue** phal-sabzi na khayein. Phal aur sabzi ko saaf paani se achchhi tarah dho kar, phir kaatkar khayein; soap ya detergent use na karein.

Saath hi pregnancy mein:
- Junk/packet food, bahut zyada namak, cheeni ya tel wali cheezein limit karein.
- Alcohol, tobacco, gutkha aur drugs bilkul na lein.
- Kachcha ya aadha paka anda aur bina ubla/pasteurised doodh na lein.
- Chai/coffee ko lagbhag **2 cups/day tak** rakhein aur meals ke turant saath na lein, kyunki iron absorption kam ho sakta hai.

Agar diabetes, severe vomiting, food allergy, anemia, high BP, ya koi pregnancy complication hai, to diet apne doctor/dietitian se personalise karwayein.",Q_0016,MIQ,['High Frequency'],['Medium Critical'],VeryConsistent,High,Clear,ImplicitAssumption,KEEP,"Pregnancy care, Maternal nutrition, Food safety","pregnancy diet, pregnancy mein phal, sabziyan, palak iron, vitamin C fruits, foods to avoid, Hinglish nutrition","Pregnancy mein kaun se phal aur sabziyan roz khani chahiye? Kya koi phal ya sabzi avoid karni hoti hai, aur unhe safely kaise wash/prepare karein?","['pregancny me konsi sabji khau or konsi sabji nahi', 'pregancny me konsa fall khau or konsi nahi', 'pregnancy me kya khana chahiye kya nahi', 'kon sa fruit safe hai pregnancy me']"
"Maa ko achha doodh aaye, iske liye kya karna chahiye?","## Maa ka doodh paryapt aane ke liye

Aksar “achha doodh” se matlab doodh ki **quantity/supply** hoti hai. Doodh banne ka sabse effective tareeqa hai baby ko sahi latch ke saath **jaldi aur baar-baar breastfeed** karana.

- Baby ko bhookh ke early signs—haath munh mein lena, breast ki taraf mudna, lips lick karna—par feed karayein; rone ka wait na karein.
- 24 ghante mein, raat mila kar, aam taur par **8–12 feeds** karayein.
- **Deep latch** zaroori hai: baby ka munh wide open ho, chin breast ko touch kare, aur areola ka zyada hissa munh mein ho. Feed bahut dardnaak nahi honi chahiye.
- Baby ko pehla breast khud chhodne dein; phir bhi bhookh lage to doosra breast offer karein.
- Skin-to-skin contact aur rooming-in feeding ko support karte hain.
- Pehle 6 mahine baby ko sirf breastmilk dein—paani, ghutti ya doosre fluids ki zaroorat nahi hoti, garmi mein bhi nahi.

### Doodh paryapt mil raha hai ya nahi?
Aam taur par day 5 ke baad baby 24 ghante mein **kam se kam 6 baar urine** kare aur weight theek se badhe. Weight ko regular growth monitoring se check karwana best hai.

Agar baby bahut sust ho, urine kam ho, feed na kar pa raha ho, weight na badh raha ho, ya maa ko nipple pain, cracked nipples, breast redness/fever, ya latch problem ho, to jaldi lactation counsellor/health worker/doctor se milen.",Q_0017,MIQ,['High Frequency'],['High Critical'],VeryConsistent,High,Ambiguous,ImplicitAssumption,KEEP,"Breastfeeding support, Breastmilk supply and adequacy, Infant feeding","maa ka doodh, breastmilk supply, doodh kam lag raha hai, 8–12 feeds, deep latch, baby susu 6 baar, exclusive breastfeeding",Maa ka doodh kam lag raha hai ya baby ko paryapt doodh nahi mil raha—doodh supply aur breastfeeding sahi karne ke liye kya karein?,"['maa ko accha dudh ke liye karna hoga', 'doodh badhane ke liye kya khaye', 'breast milk increase food', 'dudh utarne ke liye kya kare']"
Caesarean (operation) se delivery ke baad khane-peene me kya parhez karna chahiye?,"### C-section ke baad khane-peene ka parhez
C-section ke baad aam taur par kisi specific food ya drink ko sabke liye strictly avoid karne ki zaroorat nahi hoti. Hospital/doctor ne jo diet instructions di hain, unhe zaroor follow karein.

- Recovery aur breastfeeding ke liye **protein aur balanced diet** lein—dal, pulses, eggs/milk (agar lete hain), whole grains aur sabziyan.
- **Paani aur fluids** achhi matra mein lein; aam taur par **2 litre se zyada/day** fluids helpful hote hain, agar doctor ne fluid restriction na di ho.
- **Fibre-rich foods**—whole grains, dal, fruits aur vegetables—constipation se bachane mein madad karte hain.
- Doctor ne prescribe kiya ho to **iron-folic acid tablets** regular lein.
- Breastfeeding ke pehle 6 mahine mein extra calories aur protein ki zaroorat badh sakti hai.

Agar diabetes, high BP, severe anaemia, infection, vomiting, ya koi aur complication hai, to diet alag ho sakti hai—apne doctor/hospital ki salah ko priority dein.",Q_0018,MIQ,['Medium Frequency'],['Medium Critical'],VeryConsistent,High,Clear,ImplicitAssumption,KEEP,"Postpartum care, Maternal nutrition, Caesarean recovery","C-section, Caesarean delivery, operation ke baad, postpartum diet, khane-peene ka parhez, breastfeeding, fibre aur fluids","C-section/operation se delivery ke baad kya khana chahiye aur khane-peene mein kis cheez ka parhez karna chahiye, especially agar breastfeeding kar rahi hoon?","['Caeser delivery k baad kya kha sakte hai or kya nahi kha sakte hai', 'operation ke baad kya khana chahiye', 'c section ke baad diet', 'sijerian delivery ke baad kya na khaye']"
Pregnancy ke pehle 3 mahino me kaun se check-up karana zaroori hai?,"## Pregnancy ke pehle 3 mahine (0–12 weeks) mein

Pregnancy confirm hote hi **jaldi registration** karayein aur **pehla antenatal check-up (ANC)** doctor, government hospital, ya health centre par karayein—behtar hai **12 weeks ke andar**.

### Pehli visit mein aam taur par
- **Blood pressure, weight** aur general health check
- **Urine test:** sugar, protein aur zarurat par infection ke liye
- **Blood tests:** hemoglobin/CBC (anaemia), blood group aur Rh factor, blood sugar, aur local programme ke hisaab se HIV, syphilis (VDRL), hepatitis B etc.
- Doctor aapki history ke hisaab se **thyroid, hepatitis C, rubella** ya doosre tests bhi suggest kar sakte hain.

### Ultrasound
Ultrasound ki timing aur zarurat doctor batate hain. Early scan pregnancy ki location/viability ya dates check karne ke liye kiya ja sakta hai; routine dating/first-trimester scan aksar **11–14 weeks** ke aas-paas advise hota hai, local guidance aur clinical need ke anusaar.

### Supplements aur vaccines
- **Folic acid** ke baare mein turant poochhein; yeh early pregnancy mein khaas important hota hai.
- **Iron, calcium aur tetanus-diphtheria (Td) vaccine** ka schedule aapki health, pehle ke vaccination record aur local programme ke hisaab se health worker/doctor batayenge.

**Turant medical help lein** agar bleeding, ek taraf ya bahut tez pet dard, behoshi/chakkar, bukhar, severe vomiting/dehydration, ya fluid discharge ho.",Q_0019,MIQ,['Medium Frequency'],['High Critical'],VeryConsistent,Medium,Clear,ImplicitAssumption,RE_VET,"Pregnancy care, First-trimester antenatal care, Prenatal screening and tests","pregnancy, pehle 3 mahine, first trimester, ANC check-up, blood urine tests, ultrasound/sonography, folic acid aur Td vaccine","Pregnancy ke pehle 3 mahine (0–12 weeks) mein routine ANC check-up aur kaun-kaun se tests zaroori hote hain, aur ultrasound kab karwana chahiye?","['Mujhe abhi 3 ra month chalu hai to mujhe kya kya check up karna jaruri hai', 'first trimester me konse test hote hai', '3 mahine ki pregnancy me kya janch hoti hai', 'pehli timahi ke test']"
Bachcha pet me movement (halchal) karna kab shuru karta hai?,"## Baby ki halchal kab mehsoos hoti hai?

Baby garbh mein pehle hi hilna shuru kar deta hai, lekin maa ko uski halchal aam taur par **16–20 hafte** ke beech mehsoos hoti hai.

- **Pehli pregnancy** mein halchal aksar **18–20 hafte** ke aas-paas mehsoos hoti hai.
- Agli pregnancy mein yeh kabhi-kabhi **16–18 hafte** se mehsoos ho sakti hai.
- Shuru mein halchal halki—jaise phadphadahat, bubble ya flutter—lag sakti hai; baad mein zyada saaf mehsoos hoti hai.

Agar **24 hafte** tak halchal bilkul mehsoos na ho, ya pehle se mehsoos ho rahi halchal **achanak kam ya band** lage, to jaldi se doctor/nearby health facility se sampark karein.",Q_0020,MIQ,['High Frequency'],['Medium Critical'],VeryConsistent,High,Clear,ImplicitAssumption,KEEP,"Pregnancy care, Fetal movement, Antenatal warning signs","baby movement, bachche ki halchal, fetal movement, quickening, pregnancy weeks, pehli pregnancy, garbh mein baby",Pregnancy mein baby ki halchal maa ko pehli baar aam taur par kitne hafte mein mehsoos hoti hai? Meri pehli pregnancy hai/nahin hai.,"['bacha kis month me movement karta hai', 'baby ki kick kab feel hoti hai', 'pet me baby kab ghumta hai', 'bachche ki movement kab pata chalti hai']"
"Alag-alag mahino me (jaise 5th, 7th month) garbh me bachche ka vajan kitna hona chahiye?","Baby ka weight month se zyada **pregnancy weeks** aur ultrasound ki estimated fetal weight (EFW) se assess kiya jata hai. Har baby ki growth thodi alag ho sakti hai.

Approximate range, **single pregnancy** mein:
- **5th month (lagbhag 18–22 weeks):** kareeb **200–450 gram**
- **7th month (lagbhag 26–30 weeks):** kareeb **800 gram–1.4 kg**

Yeh sirf approximate ranges hain—ultrasound mein baby ki growth, paani (amniotic fluid), placenta aur pregnancy ki exact weeks ko saath mein dekha jata hai. Ultrasound report mein diya hua **weeks + estimated weight** doctor/ANM ko dikhakar interpretation karwayein. Twins ya pregnancy dates mein difference ho to expected weight alag ho sakta hai.",Q_0021,MIQ,['High Frequency'],['Medium Critical'],VeryConsistent,High,Clear,ImplicitAssumption,KEEP,"Pregnancy care, Fetal growth monitoring, Antenatal ultrasound","garbh mein bachcha, fetal weight, 5th month pregnancy, 7th month pregnancy, ultrasound EFW, pregnancy weeks, baby growth",5th ya 7th month mein garbh mein baby ka approximate weight kitna ho sakta hai? Mere ultrasound ke weeks aur estimated weight ke hisaab se growth theek hai ya nahi?,"['bache ka wajan kitna hona chahiye', '5 months pregnancy may baby ka weight kitna Rehta Hai', '7th month me kitna weight rehna chahiye baby ka', 'pregnancy ke har mahine baby ka weight']"
Paida hue bachche me kaun se khatre ke lakshan (danger signs) hote hain?,"### Newborn mein khatre ke lakshan
Agar **paida hua bachcha (khaaskar pehle 28 din)** mein inmein se **ek bhi** lakshan ho, to **turant nearest hospital/health worker se sampark karein**:

- **Doodh na peena**, bahut kam peena, ya feed karte hi chhod dena
- **Saans bahut tez chalna**, seene ka andar dhansna, grunting/karahne jaisi awaaz, ya saans rukna
- **Bukhar** ya sharir bahut thanda lagna
- Bachcha bahut **sust**, dheela, kam hilna-dulna, ya jagane par bhi response na dena
- **Daure/fit aana**
- Bahut zyada peeliya, khaaskar **haath-pair ki hatheli/talwon tak peela pan**
- Naabhi se **peep, laalpan failna**, badbu, ya skin par peep wale dane
- Baar-baar ulti, pet phoolna, ya bachcha bahut bechain/lagataar rona

**Emergency:** Agar bachcha saans lene mein dikkat mein ho, bilkul feed na kar raha ho, fit aa raha ho, ya response na de raha ho, to intezar na karein—turant emergency care lein.",Q_0022,MIQ,['Low Frequency'],['High Critical'],VeryConsistent,High,Clear,ImplicitAssumption,RE_VET,"Newborn care, Neonatal danger signs, Emergency referral","newborn danger signs, paida hua bachcha, navjaat shishu, doodh na peena, saans tez chalna, bukhar ya thand, newborn emergency","Paida hue bachche, khaaskar pehle 28 din mein, kaun se khatre ke lakshan hote hain jinmein turant hospital ya health worker ko dikhana chahiye?","['newborn baby ke danger signs kya hai', 'chote bache me kya problem hone par doctor ko dikhaye', 'navjat shishu ke khatre ke lakshan', 'kis situation me baby ko turant hospital le jaye']"
Kangaroo Mother Care (KMC) kya hai aur yeh kam vajan wale bachchon ke liye kyu zaroori hai?,"**Kangaroo Mother Care (KMC)** premature ya **kam janm-vajan (low-birth-weight)** wale newborns ki ek proven care method hai. Ismein baby ko diaper aur cap ke saath maa ke bare chest par seedha, skin-to-skin rakha jata hai. Maa ke alawa healthy adult caregiver bhi KMC de sakta/sakti hai.

KMC mein aam taur par:
- jitna possible ho utna **lamba skin-to-skin contact**,
- **maa ka doodh** baar-baar dena (exclusive breastfeeding ko support karna), aur
- baby ki feeding, temperature aur growth ki monitoring shamil hoti hai.

**Yeh zaroori kyun hai?**
- Baby ko garam rakhne mein madad karta hai.
- Breastfeeding aur weight gain ko support karta hai.
- Breathing aur heart rate ko stable rakhne mein madad kar sakta hai.
- Infection ka risk aur serious complications kam karne mein madad karta hai.
- Maa-baby bonding badhata hai aur hospital se ghar jaane ke baad bhi care continue karne mein helpful hota hai.

KMC hospital/health worker ki salah se shuru karein, khaaskar agar baby bahut chhota, premature, ya beemar ho. Caregiver haath saaf rakhe aur saaf kapde pehne. Baby doodh na pee raha ho, saans tez/pareshan ho, bukhar ya thanda sharir ho, ya bahut sust lage, to turant health worker se sampark karein.",Q_0023,MIQ,['Low Frequency'],['High Critical'],VeryConsistent,Medium,Clear,ImplicitAssumption,RE_VET,"Newborn care, Low birth weight and prematurity, Breastfeeding support","Kangaroo Mother Care, KMC, kam janm vajan, low-birth-weight baby, premature newborn, skin-to-skin contact, maa ka doodh","Kangaroo Mother Care (KMC) kya hai, aur premature ya kam janm-vajan wale newborn baby ke liye yeh kyu zaroori hai?","['KMC kya hota hai', 'kangaroo mother care kaise karte hai', 'kamjor bache ko kmc kyu dete hai', 'skin to skin care kya hai']"
Paida hone ke baad pehla gaadha peela doodh (colostrum) bachche ke liye kyu amrit jaisa hai?,"## Colostrum baby ke liye “amrit” kyun hai?

Paida hone ke baad aane wala pehla gaadha peela doodh **colostrum** kehlata hai. Yeh quantity mein kam hota hai, lekin newborn ki zaroorat ke hisaab se bahut concentrated aur faydemand hota hai.

- Ismein infection se bachane wale **antibodies aur protective factors** hote hain—isi liye ise baby ki **pehli natural vaccine jaisi protection** kaha jata hai.
- Yeh protein, Vitamin A aur doosre important nutrients se bharpoor hota hai.
- Yeh baby ko pehla kaala/green stool (**meconium**) pass karne mein madad karta hai.
- Meconium jaldi nikalne se **jaundice ka risk kam karne mein madad** mil sakti hai.
- Yeh baby ke pet aur immunity ko breastfeeding ke liye tayyar karta hai.

Maa aur baby stable/ready hon to delivery ke **pehle 1 ghante ke andar breastfeeding shuru** karna aur colostrum zaroor pilana achha hota hai. Is pehle doodh ko na nikaalein aur na phenkain.",Q_0024,MIQ,['Medium Frequency'],['High Critical'],VeryConsistent,High,Clear,NoAssumption,KEEP,"Breastfeeding, Newborn care, Postnatal care","colostrum, pehla gaadha peela doodh, amrit jaisa, newborn baby, pehli vaccination, meconium, jalaundice","Paida hone ke baad pehla gaadha peela doodh, yani colostrum, newborn baby ke liye amrit jaisa kyun hota hai?","['pehla doodh pilana kyu zaruri hai', 'colostrum kya hota hai', 'delivery ke baad jo peela doodh aata hai wo pilana chahiye?', 'maa ka pehla doodh important kyu hai']"
"Bachche ko 6 mahine tak sirf maa ka doodh hi kyu pilana chahiye, paani bhi kyu nahi?","For a healthy, full-term baby aged under 6 months, **sirf maa ka doodh (exclusive breastfeeding)** dena recommended hai—**paani, ghutti, honey, animal milk, other liquids, ya food ki zarurat nahi hoti**.

### Paani kyun nahi?
- **Breast milk mein baby ke liye enough water hota hai**, garmi ke mausam mein bhi.
- Baar-baar breastfeeding se baby ki pyaas aur nutrition dono poore hote hain.
- Paani dene se baby ka pet bhar sakta hai, jis se woh kam breastfeed karega aur zaroori calories/nutrition kam mil sakte hain.
- Saaf na hua paani infection aur loose motions ka risk badha sakta hai.

Baby ko pyaas lage, dry lips dikhen, ya garmi ho to **paani dene ke bajay breast zyada baar offer karein**, din aur raat feed on demand karein.

**Exception:** Doctor/health worker ki salah par medicines, vitamins, ya special fluids diye ja sakte hain. Premature, low-birth-weight, ya medically unwell baby ke feeding plan ke liye doctor se poochhein.",Q_0025,MIQ,['Low Frequency'],['High Critical'],VeryConsistent,High,Clear,ImplicitAssumption,KEEP,"Exclusive breastfeeding, Infant nutrition and hydration","exclusive breastfeeding, maa ka doodh, 6 mahine, paani, infant hydration, feed on demand, breastfeeding guidance",Bachche ko 6 mahine tak sirf maa ka doodh hi kyu dena chahiye? Garmi mein bhi paani dene ki zarurat kyu nahi hoti?,"['6 mahine tak sirf maa ka doodh kyu', 'exclusive breastfeeding kya hota hai', 'kya 6 mahine se pehle pani de sakte hai', 'sirf breast milk kyu important hai']"
Bachche ko 6 mahine ke baad upari aahar (solid food) dena kab aur kaise shuru karein?,"## 6 mahine poore hone ke baad upari aahar kaise shuru karein

Healthy, full-term bachche ko **6 mahine poore hote hi** breastmilk ke saath complementary/solid food dena shuru kiya ja sakta hai. Breastfeeding on demand jaari rakhein; ise 2 saal ya usse zyada tak continue kiya ja sakta hai.

- Shuruat **gaadhe, smooth mashed/pureed ya semi-solid** khane se karein—patla pani jaisa dalia/gruel na dein.
- Pehle **2–3 chammach**, din mein **2–3 baar** dein. Bachcha accept kare to quantity dheere-dheere badhayein.
- Achhe options: mashed khichdi ya dal-chawal, mashed kela/papaya/aam, paka hua mashed aloo ya shakarkand, ragi, idli ya dalia.
- Saaf katori aur chammach se, dheere aur pyaar se khilayein. Bachche ko encourage karein, par **zabardasti na khilayein**. Feeding ke waqt TV/mobile se bachayein.
- Haath sabun se dhokar khana banayein aur khilayein; taza khana aur saaf bartan use karein. Solid food ke liye feeding bottle use na karein.
- Whole nuts, poore angoor aur kacche gajar ke tukde na dein, kyunki choking ka risk hota hai. Nuts dene hon to unhe barik peeskar khane mein milayein.
- Biscuits, cakes, packaged/canned foods, juice, bahut meethi cereals aur baar-baar tale hue foods se bachein.

Lagbhag **8 mahine** par mashed, barik kata hua aur safe finger food shuru kiya ja sakta hai. **12 mahine** tak kai bachche mashed/chopped family food kha sakte hain.

*Yeh general salah healthy, full-term, lagbhag 6 mahine ke bachche ke liye hai. Agar bachcha premature hai, weight/growth ki dikkat hai, ya khana nigalne mein problem hoti hai, to pediatrician se salah lein.*",Q_0026,MIQ,['High Frequency'],['Medium Critical'],VeryConsistent,High,Clear,ImplicitAssumption,KEEP,"Complementary feeding, Infant nutrition, Child feeding safety","6 mahine, upari aahar, complementary feeding, solid food shuru, mashed khana, breastfeeding, choking safety","Mera bachcha 6 mahine ka ho gaya hai. Upari aahar/solid food kab se aur kaise shuru karun—pehle kya khilana hai, kitni quantity aur din mein kitni baar?","['when to start solid food for baby', '6 mahine ke baad bacche ko kya khilaye', 'complementary feeding kab shuru kare', 'upar ka khana kab chalu karna chahiye']"
