booklet_id,booklet_type,textbook_chapter_reference,printed_booklet_question,lookup_variants
Q_0013,MIQ,immunization_schedule_and_basics.md,Bachche ko kaun se tike kab-kab lagte hain?,"['Bche ko tika kab kab lgta hai', 'baby ka vaccination chart kya hai', 'bache ke tike ki list', 'konsa tika kis month me lagta hai']"
Q_0014,MIQ,pregnancy_nutrition_and_diet.md,Pregnancy mein kya khana chahiye aur kya nahi khana chahiye?,"['Pregnancy me kya khana chahiye', 'pregancny me konsi sabji khau or konsi sabji nahi', 'pregancny me konsa fall khau or konsi nahi', 'pregnancy me kya khaye kya na khaye']"
Q_0015,MIQ,pregnancy_care_and_checkups.md,Pregnancy mein pet ke nichle hisse mein dard kyon hota hai? Yeh normal hai ya khatarnak?,"['pregnancy me pet k nichle hisse me dard kyun hota hai', 'pet ke niche dard ho raha hai', 'lower abdomen pain in pregnancy normal hai?', 'pedu me dard kyu hota hai']"
Q_0016,MIQ,childbirth_and_newborn_care.md,Normal delivery ke liye kya karna chahiye?,"['normal delivery k liye kya kare', 'narmal dilwari ke liye tips', 'normal delivery kaise ho', 'kya khaye ki normal delivery ho']"
Q_0017,MIQ,breastfeeding_special_conditions.md,"Maa ko achha doodh bane, iske liye kya khana chahiye?","['maa ko accha dudh ke liye karna hoga', 'doodh badhane ke liye kya khana chahiye', 'breast milk increase food', 'kya khane se doodh badhta hai']"
Q_0018,MIQ,pregnancy_care_and_checkups.md,Pregnancy mein pairon mein soojan kyon aati hai aur iske liye kya karein?,"['pair me bohot soojan hai', 'Mera 6 manth Chal Raha hai paro me sweling aaye to kya karna chahiye', 'pregnancy me feet swelling ka kya ilaj hai', 'pairo me sujan aana normal hai?']"
Q_0019,MIQ,childbirth_and_newborn_care.md,Caesarean delivery ke baad kya khana chahiye aur kya nahi?,"['Caeser delivery k baad kya kha sakte hai or kya nahi kha sakte hai', 'c section ke baad diet', 'operation se delivery ke baad kya khaye', 'sijerian ke baad kya parhez kare']"
Q_0020,MIQ,pregnancy_care_and_checkups.md,Mera teesra mahina chal raha hai. Mujhe abhi kaun se check-up karwane zaroori hain?,"['Mujhe abhi 3 ra month chalu hai to mujhe kya kya check up karna jaruri hai', '3rd month pregnancy me kya test hote hai', 'first trimester checkup list', 'teesre mahine me konsi janch hoti hai']"
Q_0021,MIQ,pregnancy_care_and_checkups.md,Bachcha pet mein movement (hilna) kab shuru karta hai?,"['bacha kis month me movement karta hai', 'baby kick kab start karta hai', 'pet me halchal kab mehsoos hoti hai', 'bache ki movement kab pata chalti hai']"
Q_0022,MIQ,child_growth_and_malnutrition.md,Pregnancy ke alag-alag mahino mein bachche ka vajan kitna hona chahiye?,"['bache ka wajan kitna hona chahiye', '5 months pregnancy may baby ka weight kitna Rehta Hai', '7th month me kitna weight rehna chahiye baby ka', 'garbh me shishu ka vajan har mahine']"
Q_0023,MIQ,childbirth_and_newborn_care.md,Naye janme bachche mein kaun se khatre ke lakshan hote hain jinhe dekh kar turant doctor ke paas jaana chahiye?,"['newborn danger signs kya hai', 'naye bacche me kya problem ho sakti hai', 'kis situation me baby ko doctor ko dikhaye', 'navjat shishu ke khatre ke lakshan']"
Q_0024,MIQ,child_growth_and_malnutrition.md,Kangaroo Mother Care (KMC) kya hai aur yeh kam vajan wale bachchon ke liye kyon zaroori hai?,"['KMC kya hota hai', 'kangaroo mother care kaise karte hai', 'kamjor bache ko kmc kyu dete hai', 'skin to skin care kya hai']"
Q_0025,MIQ,complementary_feeding_6_to_24_months.md,Bachche ko upari aahar (solid food) dena kab shuru karna chahiye?,"['bachhe ko khana khilana kab shuru kare', 'when to start solid food for baby', 'upar ka khana kab de', '6 mahine ke baad kya khilaye']"
Q_0026,MIQ,complementary_feeding_6_to_24_months.md,Bachche ko shuruaat mein kaun se solid foods dene chahiye?,"['baby ke liye first food kya hai', '6 mahine ke bacche ko kya khilaye', 'shuru me bacche ko kya de khane me', 'complementary feeding me kya de']"
Q_0027,MIQ,government_cash_benefit_schemes.md,Pregnancy ke dauran sarkari paise wali kaun si yojanayein hain?,"['pregnancy me mujhe konsi yojana ka labh milega', 'sarkar se paisa kaise milta hai pregnant hone par', 'pmmvy jsy kya hai', 'garbhvati mahila ke liye sarkari yojana']"
Q_0028,MIQ,government_free_service_schemes.md,Sarkari hospital mein delivery aur bachche ke ilaaj ke liye kya-kya free milta hai?,"['sarkari hospital me kya free hai', 'jssk scheme kya hai', 'free delivery kaha hoti hai', 'government hospital me free services']"
Q_0029,MIQ,general_child_care_and_development.md,Bachche ki naabhi (umbilical cord) ki dekhbhal kaise karein?,"['baby ki nabhi ki care kaise kare', 'umbilical cord stump care', 'naal sukhne tak kya kare', 'bacche ki sundi ki dekhbhal']"
Q_0030,MIQ,vaccine_side_effects_and_reactions.md,Tika lagne ke baad agar bachche ko bukhar aaye toh kya karna chahiye?,"['injection ke baad bukhar aaye to kya kare', 'vaccine ke baad fever', 'tika lagne par bukhar ki dawa', 'baby crying after vaccine fever']"
Q_0031,MIQ,breastfeeding_special_conditions.md,Caesarean (operation) se delivery ke baad doodh kaise pilayein?,"['feeding after c-section', 'operation ke baad doodh kaise pilau', 'c section ke baad breastfeeding position', 'sijerian ke baad doodh kab aata hai']"
Q_0032,MIQ,breastfeeding_guidance.md,Maa ka pehla gaadha peela doodh (colostrum) bachche ke liye kyon zaroori hai?,"['colostrum kyu important hai', 'maa ka pehla doodh', 'delivery ke baad peela doodh kyu jaruri hai', 'cheenk ka doodh ke fayde']"
Q_0033,MIQ,general_child_care_and_development.md,Bachche ko surakshit tarike se kaise sulana chahiye?,"['safe sleep for baby', 'baby ko kaise sulaye', 'bacche ke sone ka sahi tarika', 'sids se bachav ke liye kaise sulaye']"
Q_0034,MIQ,immunization_rules_and_exceptions.md,Agar bachche ka koi tika chhoot jaaye toh kya karna chahiye?,"['missed vaccine dose what to do', 'tika miss ho gaya ab kya kare', 'vaccine chhut gaya hai', 'delayed vaccination schedule']"
Q_0035,MIQ,pregnancy_care_and_checkups.md,Pregnancy mein acidity ya gas hone par kya karna chahiye?,"['acidity ho gayi h toh kya karna chahiye', 'pregnancy me gas problem', 'Gla kahe liye jalta hai', 'Is wakt kya kru ges khatm karne ke liye']"
Q_0036,MIQ,pregnancy_care_and_checkups.md,Pregnancy mein kamar dard ke liye kya upaay hain?,"['kamar me dard hai kya karu', 'back pain in pregnancy relief', 'pregnancy me kamar dard kyu hota hai', 'Mere pao me bhot dardr rhta hai']"
Q_0037,MIQ,pregnancy_care_and_checkups.md,Pregnancy mein chakkar aane par kya karna chahiye?,"['chakkar aa raha hai kya karu', 'pregnancy me dizziness', 'mujhe chakkar aa rahe hai', 'kamjori aur chakkar aana pregnancy me']"
Q_0038,MIQ,childbirth_and_newborn_care.md,Delivery ke liye hospital jaate samay kya-kya saaman saath le jaana chahiye?,"['hospital delivery ki kya tayyari hai', 'what to pack for delivery', 'hospital bag me kya rakhe', 'delivery ke liye kya taiyari kare']"
Q_0039,MIQ,pregnancy_care_and_checkups.md,Pregnancy mein safed paani (white discharge) aana normal hai ya chinta ki baat hai?,"['pregnancy me white discharge q aata hai', 'safed pani aana normal hai', 'white discharge in pregnancy', 'safed paani ke liye kya kare']"
Q_0040,MIQ,breastfeeding_guidance.md,Kaise pata chalega ki bachche ko bhar pet doodh mil raha hai?,"['is my milk enough for baby', 'kaise jane baby ka pet bhar gaya', 'adequacy of milk signs', 'bacha kitni der me kitni bar peshab karta hai']"
Q_0041,MIQ,child_growth_and_malnutrition.md,Bachchon mein kuposhan (malnutrition) ke kya lakshan hain aur isse kaise bachein?,"['kuposhan kya hai', 'malnutrition ke lakshan', 'bacha kamjor hai kya kare', 'baby not gaining weight']"
Q_0042,MIQ,anemia_during_pregnancy.md,Pregnancy mein pet ke keede maarne ki dawai (Albendazole) kab aur kyon di jaati hai?,"['albendazole in pregnancy', 'pet ke kide ki dawa pregnancy me', 'deworming kyu karte hai', 'albendazole tablet kab leni hai']"
Q_0043,MIQ,pregnancy_care_and_checkups.md,Pregnancy mein sonography (ultrasound) kab-kab aur kyon ki jaati hai?,"['sonography kab karwani chahiye', 'ultrasound kyu karte hai pregnancy me', 'pregnancy me kitne ultrasound hote hai', 'sonography report me kya dekhte hai']"
Q_0044,MIQ,pregnancy_nutrition_and_diet.md,Garbhavastha ke dauran kaun si cheezein bilkul nahi khani chahiye?,"['what not to eat pregnancy', 'pregnancy me kya nahi khana chahiye', 'foods to avoid during pregnancy', 'kya pregnancy me papita kha sakte hai']"
Q_0045,MIQ,childbirth_and_newborn_care.md,Delivery shuru hone ke kya lakshan hain? Kab hospital jaana chahiye?,"['signs of labor', 'delivery ke lakshan kya hai', 'when to go to hospital for delivery', 'labour pain ke symptoms']"
Q_0046,MIQ,breastfeeding_special_conditions.md,Doodh pilate samay nipple mein dard ya ghaav ho jaaye toh kya karna chahiye?,"['sore nipples while breastfeeding', 'nipple me dard ho raha hai', 'cracked nipples ka ilaj', 'doodh pilane me pain kyu hota hai']"
Q_0047,MIQ,child_growth_and_malnutrition.md,"Bachche ka vajan aur lambai sahi badh rahi hai ya nahi, yeh kaise pata karein?","['growth monitoring kyu jaruri hai', 'baby ka weight chart', 'bacha theek se badh raha hai ya nahi', 'child growth and development kaise check kare']"
Q_0048,MIQ,general_child_care_and_development.md,Agar bachche ko dast (diarrhea) lag jaayein toh ghar par kya karna chahiye?,"['Dast padhne per kya khayen', 'baby ko loose motion ho to kya kare', 'diarrhea me kya de', 'bachhe ko dast lag gaye']"
Q_0049,MIQ,breastfeeding_guidance.md,Pehle 6 mahine tak bachche ko sirf maa ka doodh kyon pilana chahiye? Paani bhi nahi dena chahiye kya?,"['exclusive breastfeeding kyu important hai', '6 mahine tak sirf maa ka doodh', 'baby ko pani kab se de', 'kya 6 mahine se pehle pani de sakte hai']"
Q_0050,MIQ,pregnancy_care_and_checkups.md,Pregnancy mein kaun se khatre ke lakshan hain jinhe nazarandaaz nahi karna chahiye?,"['danger signs in pregnancy', 'pregnancy me kab doctor ke pas jana chahiye', 'khatre ke lakshan garbhvati mahila', 'bleeding in pregnancy is it normal']"
Q_0051,MIQ,general_child_care_and_development.md,Naye janme bachche ko pehli baar kab aur kaise nehlana chahiye?,"['how to bathe baby', 'newborn ko kaise nahlaye', 'baby ko kab se nehlana shuru kare', 'bachhe ko nehlane ka tarika']"
Q_0052,MIQ,anemia_during_pregnancy.md,Khoon ki kami (anemia) ke kya lakshan hote hain?,"['anemia ke symptoms kya hai', 'kaise pata chale khoon ki kami hai', 'feeling tired and weak in pregnancy', 'chakkar aana kamjori khoon ki kami hai kya']"
